timestamp,mode,dataset,steps,model_name,IoU,IoU@50,IoU@75,IoU@95,seg_loss,score_loss,total_loss
2025-04-29T11:58:19.921249,train,severstal,69,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:19.971982,train,severstal,70,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:20.026065,train,severstal,71,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:20.080009,train,severstal,72,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:20.129136,train,severstal,73,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:20.184812,train,severstal,74,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:20.242438,train,severstal,75,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:20.299354,train,severstal,76,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:20.351786,train,severstal,77,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:20.405272,train,severstal,78,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:20.469506,train,severstal,79,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:20.536157,train,severstal,80,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:20.587304,train,severstal,81,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:20.637356,train,severstal,82,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:20.689311,train,severstal,83,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:20.781133,train,severstal,84,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:20.840507,train,severstal,85,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:20.893468,train,severstal,86,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:20.943383,train,severstal,87,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:21.000100,train,severstal,88,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:21.051935,train,severstal,89,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:21.108951,train,severstal,90,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:21.164592,train,severstal,91,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:21.218342,train,severstal,92,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:21.278411,train,severstal,93,fine_tuned_sam2_severstal_full_javi,0.0728,,,,,,
2025-04-29T11:58:21.330902,train,severstal,94,fine_tuned_sam2_severstal_full_javi,0.0177,,,,,,
2025-04-29T11:58:21.382906,train,severstal,95,fine_tuned_sam2_severstal_full_javi,0.0094,,,,,,
